Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Dataset]	Term Source REF	Term Accession Number	Factor Value[Subject ID]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number
CT__32_AZ_Heart_5	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CT__32_AZ_Heart_5	rat_cardiac_tissue			32			KU60648			4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC01	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC01	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC02	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC02	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC03	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC03	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC04	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC04	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__Extract_blank_start	blank			blank						experimental blank	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000218	Sample collection	PS__Extract_blank_start	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC05	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC05	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC06_MSMS	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC06_MSMS	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC07_MSMS	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC07_MSMS	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC08_MSMS	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC08_MSMS	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC09	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC09	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC10	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC10	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_136	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_136	rat_plasma_sunitinib			48			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_83	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_83	rat_plasma_sunitinib			63			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_102	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_102	rat_plasma_sunitinib			66			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC11	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC11	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_75	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_75	rat_plasma_sunitinib			69			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_87	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_87	rat_plasma_sunitinib			54			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_121	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_121	rat_plasma_sunitinib			50			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_91	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_91	rat_plasma_sunitinib			53			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC12	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC12	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_111	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_111	rat_plasma_sunitinib			62			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_94	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_94	rat_plasma_sunitinib			50			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_79	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_79	rat_plasma_sunitinib			51			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC13	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC13	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_130	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_130	rat_plasma_sunitinib			47			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_66	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_66	rat_plasma_sunitinib			67			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_134	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_134	rat_plasma_sunitinib			64			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_115	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_115	rat_plasma_sunitinib			49			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC14	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC14	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_74	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_74	rat_plasma_sunitinib			63			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_95	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_95	rat_plasma_sunitinib			52			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_114	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_114	rat_plasma_sunitinib			46			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_106	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_106	rat_plasma_sunitinib			67			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC15	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC15	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_82	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_82	rat_plasma_sunitinib			61			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_120	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_120	rat_plasma_sunitinib			55			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_78	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_78	rat_plasma_sunitinib			47			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_116	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_116	rat_plasma_sunitinib			54			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_69	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_69	rat_plasma_sunitinib			64			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC16	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC16	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_129	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_129	rat_plasma_sunitinib			68			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_61	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_61	rat_plasma_sunitinib			48			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_133	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_133	rat_plasma_sunitinib			66			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC17	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC17	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_137	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_137	rat_plasma_sunitinib			51			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_110	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_110	rat_plasma_sunitinib			62			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_86	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_86	rat_plasma_sunitinib			67			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_99	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_99	rat_plasma_sunitinib			46			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_132	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_132	rat_plasma_sunitinib			55			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC18	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC18	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_113	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_113	rat_plasma_sunitinib			63			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_85	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_85	rat_plasma_sunitinib			68			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_126	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_126	rat_plasma_sunitinib			46			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__QC19	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	pooled quality control sample			Sample collection	PS__QC19	rat_plasma_sunitinib										day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_70	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_70	rat_plasma_sunitinib			47			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	4	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_124	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_124	rat_plasma_sunitinib			65			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_62	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_62	rat_plasma_sunitinib			70			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
PS__AZ_81	Rattus norvegicus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131	Crl:WI(Han)	RS	http://purl.obolibrary.org/obo/RS_0001833	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PS__AZ_81	rat_plasma_sunitinib			65			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	15	day	UO	http://purl.obolibrary.org/obo/UO_0000033
