Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Dataset]	Term Source REF	Term Accession Number	Factor Value[Subject ID]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number
CM__AZ_M15	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M15	cardiomyocytes			15			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M13	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M13	cardiomyocytes			13			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_media_12	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_media_12	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M5	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M5	cardiomyocytes			5			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M4	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M4	cardiomyocytes			4			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M16	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M16	cardiomyocytes			16			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M9	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M9	cardiomyocytes			9			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M1	cardiomyocytes			1			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_media_13	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__QC_media_13	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M2	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M2	cardiomyocytes			2			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M14	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M14	cardiomyocytes			14			experimental condition 'control'	MS	http://purl.obolibrary.org/obo/MS_1001811	6	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__AZ_M18	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	CM__AZ_M18	cardiomyocytes			18			Sunitinib	NCIT	http://purl.obolibrary.org/obo/NCIT_C71622	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_media_14	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_media_14	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_media_15	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_media_15	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_media_16_MSMS	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_media_16_MSMS	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
CM__QC_media_17_MSMS	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	Human induced pluripotent stem cell-derived cardiomyocyte						pooled quality control sample			Sample collection	CM__QC_media_17_MSMS	cardiomyocytes										hour	UO	http://purl.obolibrary.org/obo/UO_0000032
