CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp
L-Norvaline,XIC,eTargetCompound,C5H11NO2,,,ESI,5000,,0,,118.0861664,,+,1,2.371384985,60,30,,
L-Norvaline,XIC,eTargetCompound,C5H11NO2,,,ESI,5000,,0,,118.0861435,,+,1,2.197145875,60,20,,
L-Norvaline,XIC,eTargetCompound,C5H11NO2,,,ESI,5000,,0,,118.0861282,,+,1,2.436367548,60,30,,
L-Norvaline,XIC,eTargetCompound,C5H11NO2,,,ESI,5000,,0,,118.0861435,,+,1,2.201551044,60,45,,
L-Norvaline,XIC,eTargetCompound,C5H11NO2,,,ESI,5000,,0,,118.0861435,,+,1,2.205733328,60,60,,
D-Lysine,XIC,eTargetCompound,C6H14N2O2,,,ESI,5000,,0,,147.0762939,,+,1,2.93494114,60,15,,
"DL-2,6-Diaminopimelic acid",XIC,eTargetCompound,C7H14N2O4,,,ESI,5000,,0,,191.1025391,,+,1,4.216290309,60,25,,
"DL-2,6-Diaminopimelic acid",XIC,eTargetCompound,C7H14N2O4,,,ESI,5000,,0,,191.1026154,,+,1,3.903499923,60,20,,
"DL-2,6-Diaminopimelic acid",XIC,eTargetCompound,C7H14N2O4,,,ESI,5000,,0,,191.1026154,,+,1,3.904703326,60,30,,
"DL-2,6-Diaminopimelic acid",XIC,eTargetCompound,C7H14N2O4,,,ESI,5000,,0,,191.1025391,,+,1,4.167315469,60,60,,
L-5-hydroxy-Tryptophan,XIC,eTargetCompound,C11H12N2O3,,,ESI,5000,,0,,221.092041,,+,1,2.256472809,60,20,,
L-5-hydroxy-Tryptophan,XIC,eTargetCompound,C11H12N2O3,,,ESI,5000,,0,,221.092041,,+,1,2.258516032,60,30,,
D-Histidine,XIC,eTargetCompound,C6H9N3O2,,,ESI,5000,,0,,156.0766449,,+,1,3.502127374,60,25,,
D-Histidine,XIC,eTargetCompound,C6H9N3O2,,,ESI,5000,,0,,156.0766296,,+,1,3.409438582,60,20,,
D-Histidine,XIC,eTargetCompound,C6H9N3O2,,,ESI,5000,,0,,156.0766296,,+,1,3.410830664,60,30,,
D-Histidine,XIC,eTargetCompound,C6H9N3O2,,,ESI,5000,,0,,156.0766449,,+,1,3.46226952,60,60,,
N-a-Acetyl-L-glutamine,XIC,eTargetCompound,C7H12N2O4,,,ESI,5000,,0,,189.0868683,,+,1,2.523834514,60,30,,
N-a-Acetyl-L-glutamine,XIC,eTargetCompound,C7H12N2O4,,,ESI,5000,,0,,189.0868683,,+,1,2.47071713,60,15,,
N-a-Acetyl-L-glutamine,XIC,eTargetCompound,C7H12N2O4,,,ESI,5000,,0,,189.0868683,,+,1,2.466309935,60,20,,
N-a-Acetyl-L-glutamine,XIC,eTargetCompound,C7H12N2O4,,,ESI,5000,,0,,189.0869293,,+,1,2.59914746,60,30,,
N-a-Acetyl-L-glutamine,XIC,eTargetCompound,C7H12N2O4,,,ESI,5000,,0,,189.0868683,,+,1,2.474239094,60,60,,
L-Pyroglutamic acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,130.0497437,,+,1,3.324100462,60,10,,
L-Pyroglutamic acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,130.0497284,,+,1,2.922412787,60,25,,
L-Pyroglutamic acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,130.0497742,,+,1,2.570095197,60,30,,
L-Pyroglutamic acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,130.0497742,,+,1,2.560913706,60,20,,
L-Pyroglutamic acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,130.0497742,,+,1,2.565311167,60,30,,
L-Pyroglutamic acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,130.0497742,,+,1,2.568237958,60,60,,
5-AVA,XIC,eTargetCompound,C5H11NO2,,,ESI,5000,,0,,118.0861206,,+,1,2.992223021,60,25,,
5-AVA,XIC,eTargetCompound,C5H11NO2,,,ESI,5000,,0,,118.0861206,,+,1,2.95763016,60,15,,
5-AVA,XIC,eTargetCompound,C5H11NO2,,,ESI,5000,,0,,118.0861206,,+,1,2.953226354,60,20,,
5-AVA,XIC,eTargetCompound,C5H11NO2,,,ESI,5000,,0,,118.0861511,,+,1,3.209905012,60,30,,
5-AVA,XIC,eTargetCompound,C5H11NO2,,,ESI,5000,,0,,118.0861206,,+,1,2.961208366,60,60,,
L-(+)-Glutamic acid,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,148.0602875,,+,1,3.371390364,60,25,,
L-(+)-Glutamic acid,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,148.0602875,,+,1,3.367175644,60,15,,
L-(+)-Glutamic acid,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,148.0602875,,+,1,3.362770081,60,20,,
L-(+)-Glutamic acid,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,148.0602875,,+,1,3.369532775,60,60,,
L-(-)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,166.0861816,,+,1,1.898578988,60,10,,
L-(-)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,166.0861359,,+,1,1.879647622,60,25,,
L-(-)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,166.0861816,,+,1,2.286097679,60,30,,
L-(-)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,166.0861359,,+,1,1.854103846,60,15,,
L-(-)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,166.0861359,,+,1,1.84969249,60,20,,
L-(-)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,166.0861816,,+,1,2.168581844,60,30,,
L-(-)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,166.0861359,,+,1,1.857245981,60,60,,
L-(-)-Asparagine,XIC,eTargetCompound,C4H8N2O3,,,ESI,5000,,0,,133.0606537,,+,1,3.704676685,60,25,,
L-(-)-Asparagine,XIC,eTargetCompound,C4H8N2O3,,,ESI,5000,,0,,133.0605774,,+,1,3.309448426,60,15,,
L-(-)-Asparagine,XIC,eTargetCompound,C4H8N2O3,,,ESI,5000,,0,,133.0605774,,+,1,3.307404276,60,20,,
L-(-)-Asparagine,XIC,eTargetCompound,C4H8N2O3,,,ESI,5000,,0,,133.0605927,,+,1,3.715206113,60,30,,
