CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp
L-Theanine,XIC,eTargetCompound,C7H14N2O3,,,ESI,5000,,0,,173.0934296,,-,1,0.402485733,60,60,,
acetylserine,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0462189,,-,1,0.35002364,60,25,,
acetylserine,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0462189,,-,1,0.301481004,60,20,,
acetylserine,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0462189,,-,1,0.305889425,60,30,,
acetylserine,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0461426,,-,1,0.433826325,60,45,,
acetylserine,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0462189,,-,1,0.309236438,60,60,,
Gly-Val,XIC,eTargetCompound,C7H14N2O3,,,ESI,5000,,0,,173.0935669,,-,1,1.013048807,60,30,,
Gly-Val,XIC,eTargetCompound,C7H14N2O3,,,ESI,5000,,0,,173.0935669,,-,1,0.972335007,60,20,,
Gly-Val,XIC,eTargetCompound,C7H14N2O3,,,ESI,5000,,0,,173.0935211,,-,1,1.024222983,60,30,,
Gly-Val,XIC,eTargetCompound,C7H14N2O3,,,ESI,5000,,0,,173.0935669,,-,1,0.976740593,60,45,,
Gly-Val,XIC,eTargetCompound,C7H14N2O3,,,ESI,5000,,0,,173.0935669,,-,1,0.980910961,60,60,,
Theophylline,XIC,eTargetCompound,C7H8N4O2,,,ESI,5000,,0,,179.0578156,,-,1,0.621099838,60,30,,
Theophylline,XIC,eTargetCompound,C7H8N4O2,,,ESI,5000,,0,,179.0578156,,-,1,0.562582192,60,20,,
Theophylline,XIC,eTargetCompound,C7H8N4O2,,,ESI,5000,,0,,179.0578156,,-,1,0.566997777,60,45,,
Theophylline,XIC,eTargetCompound,C7H8N4O2,,,ESI,5000,,0,,179.0578156,,-,1,0.571165497,60,60,,
L-(+)-norleucine,XIC,eTargetCompound,C6H13NO2,,,ESI,5000,,0,,130.0875854,,-,1,0.889078969,60,30,,
L-(+)-norleucine,XIC,eTargetCompound,C6H13NO2,,,ESI,5000,,0,,130.0876312,,-,1,0.541304897,60,20,,
L-(+)-norleucine,XIC,eTargetCompound,C6H13NO2,,,ESI,5000,,0,,130.0876312,,-,1,0.543348588,60,30,,
L-(+)-norleucine,XIC,eTargetCompound,C6H13NO2,,,ESI,5000,,0,,130.0875854,,-,1,0.835981091,60,45,,
L-(+)-norleucine,XIC,eTargetCompound,C6H13NO2,,,ESI,5000,,0,,130.0875854,,-,1,0.840149669,60,60,,
"N,N-Dimethyl-L-valine",XIC,eTargetCompound,C7H15NO2,,,ESI,5000,,0,,144.1032257,,-,1,0.513223655,60,30,,
"N,N-Dimethyl-L-valine",XIC,eTargetCompound,C7H15NO2,,,ESI,5000,,0,,144.1032257,,-,1,0.503407708,60,20,,
"N,N-Dimethyl-L-valine",XIC,eTargetCompound,C7H15NO2,,,ESI,5000,,0,,144.1032257,,-,1,0.507812574,60,30,,
"N,N-Dimethyl-L-valine",XIC,eTargetCompound,C7H15NO2,,,ESI,5000,,0,,144.1032715,,-,1,0.730699486,60,45,,
"N,N-Dimethyl-L-valine",XIC,eTargetCompound,C7H15NO2,,,ESI,5000,,0,,144.1032257,,-,1,0.511180924,60,60,,
YP2278000,XIC,eTargetCompound,C9H11NO3,,,ESI,5000,,0,,180.0670013,,-,1,0.563521875,60,30,,
YP2278000,XIC,eTargetCompound,C9H11NO3,,,ESI,5000,,0,,180.0670013,,-,1,0.505208159,60,20,,
YP2278000,XIC,eTargetCompound,C9H11NO3,,,ESI,5000,,0,,180.0670013,,-,1,0.628232674,60,30,,
YP2278000,XIC,eTargetCompound,C9H11NO3,,,ESI,5000,,0,,180.0670013,,-,1,0.509612945,60,45,,
YP2278000,XIC,eTargetCompound,C9H11NO3,,,ESI,5000,,0,,180.0670013,,-,1,0.513819062,60,60,,
L-(+)-glutamine,XIC,eTargetCompound,C5H10N2O3,,,ESI,5000,,0,,145.062149,,-,1,0.383442825,60,20,,
L-(+)-glutamine,XIC,eTargetCompound,C5H10N2O3,,,ESI,5000,,0,,145.062149,,-,1,0.385485609,60,30,,
L-5-hydroxy-Tryptophan,XIC,eTargetCompound,C11H12N2O3,,,ESI,5000,,0,,219.0778503,,-,1,0.802279127,60,30,,
L-5-hydroxy-Tryptophan,XIC,eTargetCompound,C11H12N2O3,,,ESI,5000,,0,,219.0778503,,-,1,0.743987067,60,20,,
L-5-hydroxy-Tryptophan,XIC,eTargetCompound,C11H12N2O3,,,ESI,5000,,0,,219.0778961,,-,1,0.865197793,60,30,,
L-5-hydroxy-Tryptophan,XIC,eTargetCompound,C11H12N2O3,,,ESI,5000,,0,,219.0778503,,-,1,0.748391839,60,45,,
L-5-hydroxy-Tryptophan,XIC,eTargetCompound,C11H12N2O3,,,ESI,5000,,0,,219.0778503,,-,1,0.752589539,60,60,,
L-Pyroglutamic acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,128.0354767,,-,1,0.606140786,60,25,,
L-Pyroglutamic acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,128.0354767,,-,1,0.595846263,60,20,,
L-Pyroglutamic acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,128.0354767,,-,1,0.600260846,60,30,,
L-Pyroglutamic acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,128.0354767,,-,1,0.604096499,60,60,,
L-(+)-Glutamic acid,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0460815,,-,1,0.503444385,60,25,,
L-(+)-Glutamic acid,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0460815,,-,1,0.446582613,60,20,,
L-(+)-Glutamic acid,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0460815,,-,1,0.450989475,60,30,,
L-(+)-Glutamic acid,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0460815,,-,1,0.454484218,60,60,,
L-(-)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,164.0719452,,-,1,0.900728003,60,20,,
L-(-)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,164.0719452,,-,1,0.902771753,60,30,,
D-(+)-Pyroglutamic Acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,128.0354004,,-,1,0.575474035,60,25,,
D-(+)-Pyroglutamic Acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,128.0354004,,-,1,0.644688972,60,30,,
D-(+)-Pyroglutamic Acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,128.0354004,,-,1,0.566140526,60,20,,
D-(+)-Pyroglutamic Acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,128.0354004,,-,1,0.570536091,60,30,,
D-(+)-Pyroglutamic Acid,XIC,eTargetCompound,C5H7NO3,,,ESI,5000,,0,,128.0354004,,-,1,0.573616948,60,60,,
AC-LYS-OH,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,187.1092224,,-,1,0.379846813,60,25,,
AC-LYS-OH,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,187.1091003,,-,1,0.395026553,60,30,,
AC-LYS-OH,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,187.1092224,,-,1,0.342060988,60,20,,
AC-LYS-OH,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,187.1092224,,-,1,0.346467215,60,30,,
AC-LYS-OH,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,187.1090851,,-,1,0.776411529,60,45,,
AC-LYS-OH,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,187.1092224,,-,1,0.349784547,60,60,,
L-Hydroxyproline,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,130.0511932,,-,1,0.384800081,60,25,,
L-Hydroxyproline,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,130.0510712,,-,1,0.600006985,60,30,,
L-Hydroxyproline,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,130.0511932,,-,1,0.327965722,60,20,,
L-Hydroxyproline,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,130.0511932,,-,1,0.332371404,60,30,,
L-Hydroxyproline,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,130.0510712,,-,1,0.618052857,60,45,,
L-Hydroxyproline,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,130.0511932,,-,1,0.3357259,60,60,,
L-Citrulline,XIC,eTargetCompound,C6H13N3O3,,,ESI,5000,,0,,174.0886688,,-,1,1.137693183,60,15,,
L-Citrulline,XIC,eTargetCompound,C6H13N3O3,,,ESI,5000,,0,,174.0886688,,-,1,1.1356492,60,20,,
Homocitrulline,XIC,eTargetCompound,C7H15N3O3,,,ESI,5000,,0,,188.1044464,,-,1,0.833724452,60,25,,
Homocitrulline,XIC,eTargetCompound,C7H15N3O3,,,ESI,5000,,0,,188.1043854,,-,1,0.391302542,60,15,,
Homocitrulline,XIC,eTargetCompound,C7H15N3O3,,,ESI,5000,,0,,188.1043854,,-,1,0.389263387,60,20,,
Homocitrulline,XIC,eTargetCompound,C7H15N3O3,,,ESI,5000,,0,,188.1044464,,-,1,0.784793513,60,60,,
L-Carnosine,XIC,eTargetCompound,C9H14N4O3,,,ESI,5000,,0,,225.0996246,,-,1,1.026174215,60,20,,
L-Carnosine,XIC,eTargetCompound,C9H14N4O3,,,ESI,5000,,0,,225.0996246,,-,1,1.02821817,60,30,,
D-Tyrosine,XIC,eTargetCompound,C9H11NO3,,,ESI,5000,,0,,180.0668793,,-,1,0.500788442,60,30,,
D-Tyrosine,XIC,eTargetCompound,C9H11NO3,,,ESI,5000,,0,,180.0670013,,-,1,0.349983378,60,20,,
D-Tyrosine,XIC,eTargetCompound,C9H11NO3,,,ESI,5000,,0,,180.0670013,,-,1,0.352027031,60,30,,
D-Tyrosine,XIC,eTargetCompound,C9H11NO3,,,ESI,5000,,0,,180.0668793,,-,1,0.459277403,60,60,,
N-Acetyl-L-asparagine,XIC,eTargetCompound,C6H10N2O4,,,ESI,5000,,0,,173.0571442,,-,1,0.34551549,60,25,,
N-Acetyl-L-asparagine,XIC,eTargetCompound,C6H10N2O4,,,ESI,5000,,0,,173.0571442,,-,1,0.314975606,60,20,,
N-Acetyl-L-asparagine,XIC,eTargetCompound,C6H10N2O4,,,ESI,5000,,0,,173.0571442,,-,1,0.319378049,60,30,,
N-Acetyl-L-asparagine,XIC,eTargetCompound,C6H10N2O4,,,ESI,5000,,0,,173.0571442,,-,1,0.322782239,60,60,,
Maleamic acid,XIC,eTargetCompound,C4H5NO3,,,ESI,5000,,0,,114.0198898,,-,1,0.323136735,60,25,,
Maleamic acid,XIC,eTargetCompound,C4H5NO3,,,ESI,5000,,0,,114.0198898,,-,1,0.318780454,60,15,,
Maleamic acid,XIC,eTargetCompound,C4H5NO3,,,ESI,5000,,0,,114.0198898,,-,1,0.314376111,60,20,,
Maleamic acid,XIC,eTargetCompound,C4H5NO3,,,ESI,5000,,0,,114.0198898,,-,1,0.32113138,60,60,,
Ritalinic acid,XIC,eTargetCompound,C13H17NO2,,,ESI,5000,,0,,218.1186371,,-,1,0.419982409,60,25,,
Ritalinic acid,XIC,eTargetCompound,C13H17NO2,,,ESI,5000,,0,,218.1187897,,-,1,0.355701325,60,15,,
Ritalinic acid,XIC,eTargetCompound,C13H17NO2,,,ESI,5000,,0,,218.1187897,,-,1,0.353647199,60,20,,
Ritalinic acid,XIC,eTargetCompound,C13H17NO2,,,ESI,5000,,0,,218.118988,,-,1,0.816040515,60,30,,
Ritalinic acid,XIC,eTargetCompound,C13H17NO2,,,ESI,5000,,0,,218.1186371,,-,1,0.393798888,60,60,,
salicylamide,XIC,eTargetCompound,C7H7NO2,,,ESI,5000,,0,,136.0406952,,-,1,1.07043408,60,30,,
salicylamide,XIC,eTargetCompound,C7H7NO2,,,ESI,5000,,0,,136.0406952,,-,1,1.021111425,60,20,,
salicylamide,XIC,eTargetCompound,C7H7NO2,,,ESI,5000,,0,,136.0405731,,-,1,1.313307463,60,30,,
salicylamide,XIC,eTargetCompound,C7H7NO2,,,ESI,5000,,0,,136.0406952,,-,1,1.025516134,60,45,,
salicylamide,XIC,eTargetCompound,C7H7NO2,,,ESI,5000,,0,,136.0406952,,-,1,1.029647695,60,60,,
NI3378200,XIC,eTargetCompound,C5H6N2O2,,,ESI,5000,,0,,125.0358276,,-,1,0.34897107,60,25,,
NI3378200,XIC,eTargetCompound,C5H6N2O2,,,ESI,5000,,0,,125.0358276,,-,1,0.326516092,60,15,,
NI3378200,XIC,eTargetCompound,C5H6N2O2,,,ESI,5000,,0,,125.0358276,,-,1,0.322110635,60,20,,
NI3378200,XIC,eTargetCompound,C5H6N2O2,,,ESI,5000,,0,,125.0358276,,-,1,0.329598233,60,60,,
D-Methionine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0440369,,-,1,0.988508909,60,25,,
D-Methionine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0440369,,-,1,0.936089958,60,15,,
D-Methionine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0440369,,-,1,0.931685504,60,20,,
D-Methionine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0440369,,-,1,0.939600821,60,60,,
L-(+)-Isoleucine,XIC,eTargetCompound,C6H13NO2,,,ESI,5000,,0,,130.0875244,,-,1,0.767749958,60,30,,
L-(+)-Isoleucine,XIC,eTargetCompound,C6H13NO2,,,ESI,5000,,0,,130.0875244,,-,1,0.712977485,60,20,,
L-(+)-Isoleucine,XIC,eTargetCompound,C6H13NO2,,,ESI,5000,,0,,130.0875244,,-,1,0.717382384,60,45,,
L-(+)-Isoleucine,XIC,eTargetCompound,C6H13NO2,,,ESI,5000,,0,,130.0875244,,-,1,0.721522806,60,60,,
D-(+)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,164.072052,,-,1,0.864681905,60,30,,
D-(+)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,164.072052,,-,1,0.806984959,60,20,,
D-(+)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,164.0720215,,-,1,0.875348382,60,30,,
D-(+)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,164.072052,,-,1,0.81138972,60,45,,
D-(+)-Phenylalanine,XIC,eTargetCompound,C9H11NO2,,,ESI,5000,,0,,164.072052,,-,1,0.815569951,60,60,,
L-(-)-methionine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0439301,,-,1,0.515653242,60,30,,
L-(-)-methionine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0439911,,-,1,0.40212636,60,20,,
L-(-)-methionine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0439911,,-,1,0.404169022,60,30,,
L-(-)-methionine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0439301,,-,1,0.466532338,60,60,,
carglumic acid,XIC,eTargetCompound,C6H10N2O5,,,ESI,5000,,0,,189.0519867,,-,1,0.617270905,60,25,,
carglumic acid,XIC,eTargetCompound,C6H10N2O5,,,ESI,5000,,0,,189.0518646,,-,1,0.522174282,60,15,,
carglumic acid,XIC,eTargetCompound,C6H10N2O5,,,ESI,5000,,0,,189.0518646,,-,1,0.520141793,60,20,,
carglumic acid,XIC,eTargetCompound,C6H10N2O5,,,ESI,5000,,0,,189.0519867,,-,1,0.575888215,60,60,,
N-Methyl-<scp>D</scp>-aspartic acid,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0460663,,-,1,0.359220618,60,25,,
N-Methyl-<scp>D</scp>-aspartic acid,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0460663,,-,1,0.34915862,60,20,,
N-Methyl-<scp>D</scp>-aspartic acid,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0460663,,-,1,0.353563426,60,45,,
N-Methyl-<scp>D</scp>-aspartic acid,XIC,eTargetCompound,C5H9NO4,,,ESI,5000,,0,,146.0460663,,-,1,0.357173767,60,60,,
1-Methyladenosine,XIC,eTargetCompound,C11H15N5O4,,,ESI,5000,,0,,280.1053467,,-,1,0.336296429,60,25,,
1-Methyladenosine,XIC,eTargetCompound,C11H15N5O4,,,ESI,5000,,0,,280.1053467,,-,1,0.306980441,60,15,,
1-Methyladenosine,XIC,eTargetCompound,C11H15N5O4,,,ESI,5000,,0,,280.1053467,,-,1,0.302574951,60,20,,
1-Methyladenosine,XIC,eTargetCompound,C11H15N5O4,,,ESI,5000,,0,,280.1055908,,-,1,0.623877862,60,30,,
1-Methyladenosine,XIC,eTargetCompound,C11H15N5O4,,,ESI,5000,,0,,280.1053467,,-,1,0.310071515,60,60,,
Gly-Leu,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,187.1092072,,-,1,0.928959001,60,30,,
Gly-Leu,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,187.1092072,,-,1,0.871121261,60,20,,
Gly-Leu,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,187.1092072,,-,1,0.875527375,60,30,,
Gly-Leu,XIC,eTargetCompound,C8H16N2O3,,,ESI,5000,,0,,187.1092072,,-,1,0.879409085,60,60,,
Penicillamine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0440063,,-,1,0.650866993,60,25,,
Penicillamine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0440063,,-,1,0.621805051,60,15,,
Penicillamine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0440063,,-,1,0.617399064,60,20,,
Penicillamine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0439758,,-,1,0.669403182,60,45,,
Penicillamine,XIC,eTargetCompound,C5H11NO2S,,,ESI,5000,,0,,148.0440063,,-,1,0.625387179,60,60,,
81439,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,130.0511627,,-,1,0.368801767,60,25,,
81439,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,130.0510406,,-,1,0.432866935,60,30,,
81439,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,130.0511627,,-,1,0.311896028,60,20,,
81439,XIC,eTargetCompound,C5H9NO3,,,ESI,5000,,0,,130.0511627,,-,1,0.31630241,60,60,,
L-Alanyl-L-glutamine,XIC,eTargetCompound,C8H15N3O4,,,ESI,5000,,0,,216.09935,,-,1,0.428237286,60,25,,
L-Alanyl-L-glutamine,XIC,eTargetCompound,C8H15N3O4,,,ESI,5000,,0,,216.0993347,,-,1,0.364442438,60,30,,
L-Alanyl-L-glutamine,XIC,eTargetCompound,C8H15N3O4,,,ESI,5000,,0,,216.0993347,,-,1,0.315658417,60,20,,
L-Alanyl-L-glutamine,XIC,eTargetCompound,C8H15N3O4,,,ESI,5000,,0,,216.0993347,,-,1,0.320074187,60,30,,
L-Alanyl-L-glutamine,XIC,eTargetCompound,C8H15N3O4,,,ESI,5000,,0,,216.0993347,,-,1,0.323501193,60,60,,
DL-β-Hydroxybutyric acid,XIC,eTargetCompound,CH3CH(OH)CH2COOH,,,ESI,5000,,0,,103.0390549,,-,1,3.64,60,50,,
Oleic acid,XIC,eTargetCompound,C18H34O2,,,ESI,5000,,0,,281.2476196,,-,1,3.239180957,60,40,,
Petroselinic acid,XIC,eTargetCompound, C18H34O2,,,ESI,5000,,0,,281.247467,,-,1,3.241175858,60,40,,
Linolenic acid,XIC,eTargetCompound, C18H30O2,,,ESI,5000,,0,,277.2163696,,-,1,3.048963151,60,40,,
chenodeoxycholic acid,XIC,eTargetCompound,C24H40O4,,,ESI,5000,,0,,391.2842712,,-,1,1.99985214,60,40,,
Glycochenodeoxycholic acid,XIC,eTargetCompound,C26H43NO5,,,ESI,5000,,0,,448.3058167,,-,1,1.690203847,60,40,,
Glycochenodeoxycholic acid,XIC,eTargetCompound,C26H43NO5,,,ESI,5000,,0,,448.3056335,,-,1,1.789307626,60,40,,
