Filepath,Sample Type,File Name
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_87.raw,Unknown,METAB01_Smpl_87
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_QC5.raw,QC,METAB01_QC5
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_61.raw,Unknown,METAB01_Smpl_61
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_75.raw,Unknown,METAB01_Smpl_75
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_74.raw,Unknown,METAB01_Smpl_74
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_60.raw,Unknown,METAB01_Smpl_60
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_19_nonCOVID.raw,Unknown,METAB01_Smpl_19_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_QC4.raw,QC,METAB01_QC4
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_6_nonCOVID.raw,Unknown,METAB01_Smpl_6_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_1_nonCOVID.raw,Unknown,METAB01_Smpl_1_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_28_nonCOVID.raw,Unknown,METAB01_Smpl_28_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_89.raw,Unknown,METAB01_Smpl_89
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_76.raw,Unknown,METAB01_Smpl_76
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_62.raw,Unknown,METAB01_Smpl_62
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_63.raw,Unknown,METAB01_Smpl_63
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_88.raw,Unknown,METAB01_Smpl_88
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_QC3.raw,QC,METAB01_QC3
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_18_nonCOVID.raw,Unknown,METAB01_Smpl_18_nonCOVID
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_98.raw,Unknown,METAB01_Smpl_98
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_73.raw,Unknown,METAB01_Smpl_73
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_67.raw,Unknown,METAB01_Smpl_67
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_66.raw,Unknown,METAB01_Smpl_66
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_72.raw,Unknown,METAB01_Smpl_72
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_99.raw,Unknown,METAB01_Smpl_99
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_QC2.raw,QC,METAB01_QC2
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_58.raw,Unknown,METAB01_Smpl_58
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_64.raw,Unknown,METAB01_Smpl_64
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_70.raw,Unknown,METAB01_Smpl_70
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_71.raw,Unknown,METAB01_Smpl_71
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_65.raw,Unknown,METAB01_Smpl_65
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_59.raw,Unknown,METAB01_Smpl_59
/Users/mitchjo/Datasets/ForPCPFM/COVID/RAW_FILES/METAB01_Smpl_7_nonCOVID.raw,Unknown,METAB01_Smpl_7_nonCOVID
